"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.131113333E0,2.508782959E-1,-6.182144165E-2,9.801617432E0,9.805022493E0
2.141174333E0,2.127076721E-1,-2.335144043E-2,9.799970856E0,9.802306801E0
2.151235333E0,1.573228455E-1,5.628295898E-2,9.790540466E0,9.791966139E0
2.161296333E0,1.356179810E-1,1.152603149E-1,9.792037354E0,9.793654717E0
2.171357333E0,1.508862305E-1,1.347198486E-1,9.800270233E0,9.802357509E0
2.181417333E0,1.782792664E-1,9.160949707E-2,9.809700623E0,9.811748167E0
2.191478333E0,2.014810181E-1,8.442443848E-2,9.785301361E0,9.787739515E0
2.201539333E0,2.317181396E-1,4.266128540E-2,9.799521790E0,9.802353829E0
2.211600333E0,2.466870117E-1,1.945953369E-3,9.785301361E0,9.788410545E0
2.221661333E0,2.297721863E-1,1.242416382E-2,9.795629883E0,9.798332226E0
2.231721333E0,2.279759216E-1,1.930984497E-2,9.808802490E0,9.811470439E0
2.241782333E0,2.026785278E-1,4.849914551E-2,9.794132996E0,9.796349927E0
2.251843333E0,1.782792664E-1,7.244934082E-2,9.804760895E0,9.806649204E0
2.261904333E0,1.736389160E-1,6.481521606E-2,9.795480194E0,9.797233473E0
2.271965333E0,1.695973206E-1,5.358856201E-2,9.788295135E0,9.789910962E0
2.282026333E0,1.698966980E-1,4.894821167E-2,9.783804474E0,9.785401923E0
2.292086333E0,1.930984497E-1,4.999603271E-2,9.800868988E0,9.802898527E0
2.302147333E0,1.839674377E-1,4.790039063E-2,9.799372101E0,9.801215845E0
2.312208333E0,1.951940918E-1,6.301895142E-2,9.807305603E0,9.809450306E0
2.322269333E0,2.154020691E-1,5.703140259E-2,9.796228638E0,9.798762481E0
2.332330333E0,1.992356873E-1,6.376739502E-2,9.792935486E0,9.795169553E0
2.342390333E0,1.872605896E-1,4.026626587E-2,9.786798248E0,9.788672425E0
2.352451333E0,1.969903564E-1,3.367996216E-2,9.794132996E0,9.796171736E0
2.362512333E0,1.859133911E-1,2.844085693E-2,9.805509338E0,9.807312887E0
2.372573333E0,1.833686829E-1,2.978805542E-2,9.771829376E0,9.773595079E0
2.382634333E0,1.930984497E-1,3.742218018E-2,9.786049805E0,9.788026267E0
2.392694333E0,1.868115234E-1,7.439529419E-2,9.793983307E0,9.796047275E0
2.402755333E0,1.857637024E-1,7.978408813E-2,9.794432373E0,9.796518727E0
2.412816333E0,2.158511353E-1,6.301895142E-2,9.798024902E0,9.800604833E0
2.422877333E0,2.192939758E-1,5.987548828E-2,9.803713074E0,9.806348197E0
2.432938333E0,2.227368164E-1,3.966751099E-2,9.793234863E0,9.795847809E0
2.442998333E0,2.064207458E-1,4.400848389E-2,9.802515564E0,9.804787486E0
2.453059333E0,2.044747925E-1,6.810836792E-2,9.800868988E0,9.803238323E0
2.463120333E0,1.839674377E-1,6.436614990E-2,9.805958405E0,9.807895149E0
2.473181333E0,1.815724182E-1,7.888595581E-2,9.789642334E0,9.791643813E0
2.483242333E0,1.706451416E-1,8.502319336E-2,9.796528015E0,9.798383023E0
2.493302333E0,1.713935852E-1,6.047424316E-2,9.797276459E0,9.798962134E0
2.503363333E0,1.794767761E-1,4.730163574E-2,9.799072723E0,9.800830352E0
2.513424333E0,2.106120300E-1,2.724334717E-2,9.801168365E0,9.803468823E0
