"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.697961917E0,2.738679581E-2,-5.271813087E-3,3.727599978E-3,2.813758340E-2
1.708022917E0,3.979965806E-2,-3.902846513E-2,1.810356438E-2,5.860864199E-2
1.718084917E0,5.002256446E-2,-3.510140201E-2,2.094648063E-2,6.459969372E-2
1.728146917E0,1.599126686E-2,1.381039247E-4,8.667327762E-3,1.818961954E-2
1.738208542E0,-2.664897770E-2,1.125749812E-2,2.303744495E-2,3.698138918E-2
1.748270542E0,-3.860431359E-2,3.587747371E-2,1.165876329E-2,5.397604014E-2
1.758332542E0,-5.288639364E-2,1.141144434E-2,7.920053601E-3,5.468015127E-2
1.768394542E0,-3.259472807E-2,-1.260451388E-2,6.280494332E-3,3.550682578E-2
1.778456542E0,-1.863142177E-3,-3.126604881E-2,8.077343702E-3,3.234626081E-2
1.788518542E0,1.670068030E-2,-1.748321135E-2,3.881966472E-3,2.448765128E-2
1.798580542E0,2.730166401E-2,-1.443979042E-2,1.225985706E-2,3.322939211E-2
1.808642542E0,2.499111847E-2,1.121203601E-2,3.428222537E-3,2.760468192E-2
1.818704542E0,2.195682468E-2,6.344886795E-3,1.644821763E-2,2.815854403E-2
1.828766542E0,2.847977746E-2,-1.174225057E-2,1.764572740E-2,3.550140656E-2
1.838828542E0,2.302957862E-2,-1.545358798E-2,-1.367079020E-3,2.776767505E-2
1.848890542E0,-3.533271421E-4,-3.771161735E-3,-2.568681836E-3,4.576530048E-3
1.858952542E0,-3.958670064E-2,1.384878309E-2,1.000049293E-2,4.311502661E-2
1.869014542E0,-3.480193321E-2,2.878637256E-2,-1.439876854E-2,4.740415948E-2
1.879076542E0,-2.304041424E-2,1.860401295E-3,5.059595704E-3,2.366265602E-2
1.889138542E0,-3.635689057E-4,-7.178261206E-3,-1.760011911E-4,7.189617007E-3
1.899200542E0,1.852004145E-2,-1.105445355E-2,5.815640688E-3,2.233863369E-2
1.909261542E0,2.695894408E-2,-1.628133444E-2,2.751875103E-2,4.182281883E-2
1.919323542E0,1.827598415E-2,5.306128934E-3,-6.461758018E-3,2.009778390E-2
1.929385542E0,-6.163065797E-3,3.181634489E-3,3.469269991E-2,3.537922561E-2
1.939447542E0,1.678176474E-2,-3.225347908E-2,5.997196734E-2,7.013238487E-2
1.949509542E0,-2.362909181E-2,-1.688286675E-2,2.786782980E-3,2.917415515E-2
1.959571542E0,-4.998315057E-2,-5.523791537E-4,-3.823318899E-2,6.293168680E-2
1.969633542E0,-2.302341163E-2,1.574039390E-2,-1.383977473E-2,3.113481729E-2
1.979695542E0,-1.139393924E-2,3.314051997E-2,5.315703750E-3,3.544534697E-2
1.989757542E0,8.566609472E-3,1.956668392E-2,-2.166978121E-3,2.146945997E-2
1.999819542E0,2.299794883E-2,8.676171675E-3,-3.300519347E-2,4.115245317E-2
2.009881542E0,4.589241109E-2,-1.875869008E-2,-1.653768003E-2,5.226372269E-2
2.019943542E0,1.837572486E-2,-1.491061918E-2,1.789189517E-2,2.966671100E-2
2.030005542E0,-8.755026860E-3,1.370168908E-2,-2.581136405E-2,3.050595505E-2
2.040067542E0,-2.823475172E-2,1.012547716E-2,-1.503026783E-2,3.355049096E-2
2.050129542E0,-4.753428183E-2,1.089913689E-2,2.347657084E-3,4.882428318E-2
2.060191542E0,-5.563717056E-2,2.042909341E-2,-2.965707779E-2,6.627506974E-2
2.070253542E0,-6.389503791E-2,-1.143916380E-2,-5.753484786E-2,8.673920138E-2
2.080315542E0,-1.497666714E-1,2.060825575E-2,-2.088871014E-1,2.578537904E-1
2.090377542E0,-3.671923522E-2,-6.432805164E-3,4.267064095E-2,5.666098142E-2
2.100438542E0,7.013936173E-3,-4.403200066E-3,4.220637202E-2,4.301117658E-2
2.110500542E0,7.895453269E-2,-1.709161235E-2,1.230564076E-1,1.472033318E-1
2.120562542E0,1.837198813E-1,-3.526803852E-2,2.524862802E-1,3.142390030E-1
2.130624542E0,2.108940851E-2,-5.075474549E-4,5.046673357E-2,5.469837249E-2
2.140686542E0,-1.926809037E-1,8.146065845E-2,-2.019686759E-1,2.907801842E-1
2.150748542E0,-7.881558822E-2,4.487630205E-2,-2.934366703E-2,9.532486679E-2
2.160810542E0,9.831870195E-2,-6.010325560E-3,1.560124844E-1,1.845063318E-1
2.170872542E0,-6.333696686E-2,4.783156707E-2,-8.001739204E-2,1.127040958E-1
2.180934542E0,3.601272712E-2,5.038296307E-2,2.668610752E-2,6.743521199E-2
