"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.615147625E0,-1.403032087E0,9.234795655E-1,9.967046857E-2,1.682631198E0
1.625208625E0,-1.570655095E0,5.508803296E-1,-8.039336801E-2,1.666400210E0
1.635269625E0,-1.473561787E0,4.894882928E-1,2.860925674E-2,1.552997623E0
1.645331625E0,-1.732093357E0,5.190659216E-1,1.843042374E-2,1.808291046E0
1.655392625E0,-1.976103952E0,5.666315956E-1,5.512111723E-2,2.056476728E0
1.665453625E0,-2.207552681E0,8.341633464E-1,2.505005658E-2,2.360030685E0
1.675514625E0,-2.313329105E0,2.997734441E-1,-3.553294480E-2,2.332941974E0
1.685575625E0,-1.859760440E0,1.819904028E-1,4.753084660E-2,1.869248133E0
1.695637625E0,-1.468102972E0,3.580232968E-1,-1.277382731E-2,1.511181719E0
1.705698625E0,-1.546643796E0,1.230202279E-1,5.628237426E-2,1.552549102E0
1.715759625E0,-1.724654383E0,-3.226750144E-1,-4.488732040E-2,1.755154346E0
1.725820625E0,-1.824809293E0,-3.353307279E-1,7.244700193E-3,1.855378166E0
1.735881625E0,-1.862307634E0,9.012413984E-2,7.895553768E-2,1.866158101E0
1.745943625E0,-1.935081641E0,-7.283478197E-2,5.505621314E-2,1.937234382E0
1.756004625E0,-1.783623991E0,-4.453794196E-1,-1.287615359E-2,1.838434977E0
1.766065625E0,-1.903186395E0,-3.796523667E-1,-2.047694921E-2,1.940792024E0
1.776126625E0,-2.133050675E0,-6.017725943E-2,1.269950920E-1,2.137674961E0
1.786187625E0,-2.283776107E0,2.979306210E-2,1.762935519E-2,2.284038469E0
1.796249625E0,-1.866243833E0,-4.337762779E-1,-1.150439680E-2,1.916027206E0
1.806310625E0,-1.279448553E0,-6.242465504E-1,-8.258022666E-2,1.426005557E0
1.816371625E0,-1.025512455E0,-5.845788932E-1,6.220268011E-3,1.180443548E0
1.826432625E0,-1.342680781E0,-7.679500611E-1,6.312946379E-2,1.548071157E0
1.836493625E0,-1.264070376E0,-8.267516351E-1,7.044725418E-3,1.510444242E0
1.846555625E0,-1.101236895E0,-7.404684399E-1,8.073192179E-2,1.329486311E0
1.856616625E0,-1.298026180E0,-1.081247750E0,-2.061728239E-2,1.689495112E0
1.866677625E0,-1.421493062E0,-9.431318381E-1,6.836155236E-2,1.707282487E0
1.876738625E0,-1.493305203E0,-6.326093844E-1,-3.759642720E-2,1.622211008E0
1.886800625E0,-1.569539154E0,-7.617257001E-1,-2.289828122E-2,1.744764606E0
1.896861625E0,-9.967677625E-1,-1.269911013E0,2.469513059E-2,1.614567993E0
1.906922625E0,-8.026913660E-1,-1.244813448E0,4.150353670E-2,1.481754532E0
1.916983625E0,-9.163232314E-1,-1.213158669E0,4.547964334E-3,1.520336444E0
1.927044625E0,-9.446835429E-1,-1.527968082E0,5.515093803E-2,1.797263220E0
1.937106625E0,-6.406973261E-2,-1.673062791E0,9.679890096E-2,1.677084989E0
1.947167625E0,-1.556660004E-1,-1.360379865E0,-4.091764569E-2,1.369868437E0
1.957228625E0,-7.457765423E-1,-1.488868043E0,-7.673885822E-3,1.665223585E0
1.967289625E0,-1.417456291E0,-1.316681137E0,6.732133269E-2,1.935810867E0
1.977350625E0,-1.169189361E0,-1.185470349E0,-6.383346856E-2,1.666258810E0
1.987412625E0,-2.818173574E-1,-1.260581196E0,5.923814178E-3,1.291712455E0
1.997473625E0,1.076182690E-1,-1.282783951E0,8.211478829E-2,1.289906661E0
2.007534625E0,1.816864755E-1,-1.156604545E0,3.242631912E-2,1.171236746E0
2.017595625E0,-6.954314217E-2,-1.251835077E0,5.396570742E-2,1.254926136E0
2.027656625E0,-3.321203142E-1,-1.258273007E0,-3.271692574E-2,1.301777731E0
2.037718625E0,-2.594778690E-2,-1.200206282E0,2.537048399E-2,1.200754791E0
2.047779625E0,1.333549440E-1,-1.063746521E0,9.215328813E-2,1.076026223E0
2.057840625E0,1.182694018E-1,-8.824628095E-1,-5.595785379E-3,8.903704703E-1
2.067901625E0,-2.914598729E-1,-7.232973602E-1,-2.907820344E-3,7.798181738E-1
2.077963625E0,-9.731097087E-2,-8.785506568E-1,8.854847968E-2,8.883476318E-1
2.088024625E0,-5.955309656E-2,-7.626212742E-1,-4.034695745E-2,7.660063030E-1
2.098085625E0,5.301525714E-1,-9.427896298E-1,9.991839051E-2,1.086230970E0
2.108146625E0,3.923498879E-1,-8.429647947E-1,6.444333315E-2,9.320305912E-1
2.118207625E0,-8.714859230E-2,-7.849925020E-1,5.383414507E-2,7.916477882E-1
2.128269625E0,-1.617304401E-1,-8.002405787E-1,-8.761701822E-2,8.211080689E-1
2.138330625E0,-2.278766834E-1,-7.434280812E-1,4.035105050E-2,7.786149896E-1
2.148391625E0,1.337212721E-1,-8.103989464E-1,-3.069788218E-3,8.213630467E-1
2.158452625E0,5.839697869E-2,-8.341842502E-1,1.475895703E-2,8.363560230E-1
2.168513625E0,5.669598254E-2,-7.852410818E-1,2.565992117E-2,7.877032579E-1
2.178575625E0,-7.524159826E-1,-6.222047026E-1,-1.162192583E-2,9.764238690E-1
2.188636625E0,4.639729441E-1,-6.180235780E-1,1.265483648E-1,7.830954759E-1
2.198697625E0,3.061700331E-3,-5.924546541E-1,-1.255426437E-1,6.056177397E-1
2.208758625E0,-1.939250541E-2,-6.324578684E-1,5.812424719E-2,6.354191157E-1
2.218820625E0,-6.606028471E-2,-3.940571652E-1,-2.198026836E-2,4.001601465E-1
2.228881625E0,-1.858003754E-1,-1.060522476E-1,6.410887241E-2,2.233356359E-1
2.238942625E0,-3.853443388E-1,-2.533546831E-1,1.050510764E-2,4.612908109E-1
2.249003625E0,2.978600524E-1,-1.688675150E-1,-9.787069559E-2,3.561116700E-1
2.259064625E0,5.408630990E-1,-2.943351498E-1,7.618220329E-2,6.204593463E-1
2.269126625E0,4.172026009E-1,-1.752412906E-1,-3.069671273E-2,4.535524318E-1
2.279187625E0,6.787130718E-1,-6.886424845E-2,4.251744390E-2,6.835213615E-1
2.289248625E0,7.566668352E-1,-2.813378127E-1,3.233159423E-2,8.079238803E-1
2.299309625E0,6.618817884E-1,-6.897050332E-1,4.282734632E-2,9.568775869E-1
2.309370625E0,7.295780190E-2,-5.340169231E-1,-5.029482543E-2,5.413192076E-1
2.319432625E0,5.237353984E-1,-1.413548670E-1,-6.468599260E-2,5.463188113E-1
2.329493625E0,7.515840700E-1,-2.821341304E-1,5.491529524E-2,8.046701010E-1
2.339554625E0,1.451814091E0,-4.556167978E-1,1.369417906E-1,1.527777430E0
2.349615625E0,1.756649616E0,-6.111712260E-1,-1.455290115E-1,1.865617012E0
2.359677625E0,2.310873566E0,-5.939416011E-1,1.182160825E-1,2.388907346E0
2.369738625E0,2.878923989E0,-5.255599489E-1,3.845713735E-2,2.926755122E0
2.379799625E0,2.935531468E0,-4.462785386E-1,-1.586934328E-2,2.969303180E0
2.389860625E0,2.691578907E0,-4.293419688E-1,1.015836775E-2,2.725625567E0
2.399921625E0,2.587247623E0,1.173791449E-1,-5.912821412E-2,2.590583770E0
2.409983625E0,2.375818737E0,5.695333860E-1,1.231821227E-1,2.446233183E0
