"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.692540708E0,2.990780640E-1,1.781295776E-1,9.785451050E0,9.791640827E0
1.702601708E0,3.011737061E-1,2.279759216E-1,9.799821167E0,9.807098120E0
1.712662708E0,3.131488037E-1,2.579136658E-1,9.794432373E0,9.802830568E0
1.722723708E0,2.972817993E-1,2.601589966E-1,9.780661011E0,9.788635706E0
1.732783708E0,3.061134338E-1,2.478845215E-1,9.789193268E0,9.797114729E0
1.742844708E0,2.975811768E-1,2.086660767E-1,9.765243073E0,9.772004316E0
1.752905708E0,2.766247559E-1,1.829196167E-1,9.769883423E0,9.775510367E0
1.762966708E0,2.888992310E-1,1.748364258E-1,9.779912567E0,9.785740665E0
1.773026708E0,2.056723022E-1,1.369651794E-1,9.840237122E0,9.843339228E0
1.783087708E0,-4.460723877E-1,-1.769320679E-1,9.937085724E0,9.948666153E0
1.793148708E0,-7.524851990E-1,-3.742218018E-1,9.625134430E0,9.661753916E0
1.803208708E0,-1.145118713E0,-8.655001831E-1,9.789193268E0,9.893871450E0
1.813269708E0,-1.010997620E0,-1.068777466E0,9.790989532E0,9.900902862E0
1.823330708E0,-6.923103333E-1,-1.130898285E0,9.892777863E0,9.981246333E0
1.833391708E0,-3.070115662E-1,-1.342408447E0,9.784403229E0,9.880833117E0
1.843451708E0,-2.874023438E-1,-1.610500946E0,9.842632141E0,9.977661092E0
1.853512708E0,-1.077459412E0,-2.147434387E0,9.766440582E0,1.005762173E1
1.863573708E0,-1.814826050E0,-2.637066193E0,9.860445099E0,1.036706753E1
1.873634708E0,-2.388582916E0,-2.898871765E0,9.783205719E0,1.047949903E1
1.883694708E0,-2.205663300E0,-2.682272186E0,9.859397278E0,1.045309760E1
1.893755708E0,-1.450633392E0,-2.506387939E0,9.817484436E0,1.023568847E1
1.903816708E0,-8.171507263E-1,-2.337988129E0,9.955198059E0,1.025864963E1
1.913877708E0,-8.414002991E-1,-2.290686493E0,9.767937469E0,1.006815780E1
1.923937708E0,-1.656605072E0,-2.313139801E0,9.721384277E0,1.012917906E1
1.933998708E0,-2.178419952E0,-2.373614044E0,9.822573853E0,1.033743267E1
1.944059708E0,-2.260149994E0,-1.919907532E0,1.006012985E1,1.048811401E1
1.954120708E0,-2.554887085E0,-1.761985931E0,9.764943695E0,1.024627580E1
1.964180708E0,-2.686912537E0,-2.442321167E0,9.885892181E0,1.053163311E1
1.974241708E0,-2.653981018E0,-2.660567322E0,9.806706848E0,1.050208231E1
1.984302708E0,-2.408641205E0,-2.381098480E0,9.809550934E0,1.037778743E1
1.994363708E0,-2.114802246E0,-1.885628815E0,9.921667786E0,1.031830782E1
2.004423708E0,-2.715952148E0,-2.133812714E0,9.809101868E0,1.039942461E1
2.014484708E0,-3.185076599E0,-2.597847748E0,9.697134705E0,1.053223373E1
2.024545708E0,-1.974244537E0,-1.762884064E0,9.891879730E0,1.023985773E1
2.034606708E0,-1.848805389E0,-2.462529144E0,9.948761444E0,1.041441239E1
2.044666708E0,-1.824106750E0,-3.231031036E0,9.841284943E0,1.051750048E1
2.054727708E0,-1.389560394E0,-3.161575470E0,9.883946228E0,1.046990117E1
2.064788708E0,-8.767268372E-1,-2.815944214E0,1.007240433E1,1.049530946E1
2.074849708E0,-9.409432983E-1,-2.579735413E0,9.748028870E0,1.012741210E1
2.084909708E0,-1.346599731E0,-2.114053802E0,9.977950745E0,1.028795681E1
2.094970708E0,-2.106419678E0,-2.019749908E0,9.777966614E0,1.020416702E1
2.105031708E0,-2.462828522E0,-2.752775574E0,9.881102142E0,1.054890882E1
2.115091708E0,-2.121837616E0,-3.166066132E0,9.724228363E0,1.044446202E1
2.125152708E0,-1.124012604E0,-3.015030212E0,1.007000931E1,1.057160815E1
2.135213708E0,-4.257147217E-1,-2.952610016E0,9.908644867E0,1.034796512E1
