Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.5516907080,-0.5462141418,-1.1960128780,-0.0847238160,9.8137553240
1.5617517080,-0.1270857239,-0.9716294861,0.0826281740,9.9410415360
1.5718117080,-0.0179626465,-0.9848020935,-0.0261955260,9.8332592670
1.5818727080,-0.1333726501,-0.3212319946,0.0160166930,9.8321707830
1.5919337080,-0.4668791199,-0.1026864624,-0.1390608220,9.6827467810
1.6019947080,-0.5725593567,-0.3926335144,0.2309697000,10.0649420100
1.6120547080,-0.4379891968,-0.7557783508,-0.1541793820,9.6952517890
1.6221157080,-0.6417155457,-1.1045530700,0.0294886780,9.9220649950
1.6321767080,-0.4695735168,-0.7969427490,-0.0652642820,9.7885387700
1.6422377080,-0.0874182129,-0.6033952332,0.0184117130,9.8473044300
1.6522977080,0.0940045166,-0.4104464722,-0.0061372380,9.8129011110
1.6623587080,0.2989283752,-0.1380130005,0.0655636600,9.8810507210
1.6724197080,0.3233276367,0.1767823792,-0.0029937740,9.8139270370
1.6824807080,0.3008743286,0.1501377869,-0.0127235410,9.8030450740
1.6925407080,0.2990780640,0.1781295776,-0.0245489500,9.7916408270
1.7026017080,0.3011737061,0.2279759216,-0.0101788330,9.8070981200
1.7126627080,0.3131488037,0.2579136658,-0.0155676270,9.8028305680
1.7227237080,0.2972817993,0.2601589966,-0.0293389890,9.7886357060
1.7327837080,0.3061134338,0.2478845215,-0.0208067320,9.7971147290
1.7428447080,0.2975811768,0.2086660767,-0.0447569270,9.7720043160
1.7529057080,0.2766247559,0.1829196167,-0.0401165770,9.7755103670
1.7629667080,0.2888992310,0.1748364258,-0.0300874330,9.7857406650
1.7730267080,0.2056723022,0.1369651794,0.0302371220,9.8433392280
1.7830877080,-0.4460723877,-0.1769320679,0.1270857240,9.9486661530
1.7931487080,-0.7524851990,-0.3742218018,-0.1848655700,9.6617539160
1.8032087080,-1.1451187130,-0.8655001831,-0.0208067320,9.8938714500
1.8132697080,-1.0109976200,-1.0687774660,-0.0190104680,9.9009028620
1.8233307080,-0.6923103333,-1.1308982850,0.0827778630,9.9812463330
1.8333917080,-0.3070115662,-1.3424084470,-0.0255967710,9.8808331170
1.8434517080,-0.2874023438,-1.6105009460,0.0326321410,9.9776610920
1.8535127080,-1.0774594120,-2.1474343870,-0.0435594180,10.0576217300
1.8635737080,-1.8148260500,-2.6370661930,0.0504450990,10.3670675300
1.8736347080,-2.3885829160,-2.8988717650,-0.0267942810,10.4794990300
1.8836947080,-2.2056633000,-2.6822721860,0.0493972780,10.4530976000
1.8937557080,-1.4506333920,-2.5063879390,0.0074844360,10.2356884700
