Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
6.4374400000,0.0731977844,-0.0712518311,-0.0270936580,9.7834396420
6.4474720000,0.0675096130,-0.0676593018,-0.0440084840,9.7664592160
6.4575040000,0.0773890686,-0.0717008972,-0.0368234250,9.7737459780
6.4675350000,0.0736468506,-0.0751437378,-0.0392184450,9.7713480460
6.4775680000,0.0820294190,-0.0648152161,-0.0300874330,9.7804713410
6.4875990000,0.0703536987,-0.0758921814,-0.0387693790,9.7717786060
6.4976310000,0.0811312866,-0.0764909363,-0.0163160710,9.7943186620
6.5076630000,0.0681083679,-0.0920585632,-0.0275427250,9.7831275100
6.5176950000,0.0643661499,-0.0812809753,-0.0470022580,9.7635482540
6.5277260000,0.0697549439,-0.0901126099,-0.0374221800,9.7732422090
6.5377590000,0.0649649048,-0.0702040100,-0.0094303890,9.8010363600
6.5477900000,0.0679586792,-0.0821791077,-0.0010478210,9.8095318260
6.5578220000,0.0496966553,-0.0808319092,-0.0333805850,9.7770798680
6.5678530000,0.0742456055,-0.0839753723,-0.0398172000,9.7708257700
6.5778850000,0.0517922974,-0.0784368896,-0.0308358760,9.7796158280
6.5879160000,0.0398171997,-0.0755928040,-0.0233514400,9.7870214930
6.5979480000,0.0318836975,-0.0859213257,-0.0220042420,9.7884247970
6.6079800000,0.0474513245,-0.0917591858,-0.0495469670,9.7609996820
6.6180120000,0.0404159546,-0.0902622986,-0.0314346310,9.7790654670
6.6280440000,0.0598754883,-0.0998423767,-0.0136216740,9.7970700670
6.6380770000,0.0737965393,-0.0983454895,-0.0193098450,9.7914621730
6.6481090000,0.0901126099,-0.0974473572,-0.0359252930,9.7749758390
6.6581410000,0.0952020264,-0.0636177063,-0.0350271610,9.7756434390
6.6681740000,0.0580792236,-0.0736468506,-0.0377215580,9.7727285350
6.6782060000,0.0688568115,-0.0694555664,-0.0249980160,9.7854907470
6.6882380000,0.0595761108,-0.0799337769,-0.0399668880,9.7705417310
6.6982700000,0.0731977844,-0.0796343994,-0.0275427250,9.7830552440
6.7083030000,0.0610729981,-0.0860710144,-0.0282911680,9.7822781500
6.7183350000,0.0660127258,-0.0938548279,-0.0257464600,9.7849263540
6.7283680000,0.0779878235,-0.1137634277,-0.0148191830,9.7961518690
6.7384000000,0.0739462280,-0.0937051392,-0.0344284060,9.7763003580
6.7484330000,0.0700543213,-0.0872685242,-0.0260458370,9.7845941390
6.7584650000,0.0839753723,-0.0842747498,-0.0139210510,9.7968013590
6.7684960000,0.0622705078,-0.0905616760,-0.0290396120,9.7815778460
6.7785280000,0.0496966553,-0.0722996521,-0.0504450990,9.7599492250
6.7885590000,0.0413140869,-0.0745449829,-0.0423619080,9.7680099150
6.7985900000,0.0514929199,-0.0767903137,-0.0146694950,9.7957668400
