"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.799836083E0,4.655319214E-2,-8.577163696E-2,9.782307587E0,9.782794370E0
1.809900083E0,6.002517700E-2,-1.032852173E-1,9.773475952E0,9.774206006E0
1.819964083E0,6.361770630E-2,-1.001417542E-1,9.780211945E0,9.780931513E0
1.830028083E0,5.837860107E-2,-8.816665649E-2,9.783804474E0,9.784375882E0
1.840093083E0,5.343887329E-2,-7.798782349E-2,9.807904358E0,9.808359991E0
1.850157083E0,5.628295898E-2,-7.349716187E-2,9.788594513E0,9.789032237E0
1.860221083E0,4.730163574E-2,-9.131011963E-2,9.785451050E0,9.785991377E0
1.870286083E0,4.879852295E-2,-7.738906860E-2,9.791438599E0,9.791866022E0
1.880350083E0,5.927673340E-2,-7.514373779E-2,9.773925018E0,9.774393617E0
1.890414083E0,6.271957397E-2,-9.310638428E-2,9.772128754E0,9.772773553E0
1.900478083E0,6.451583862E-2,-7.559280396E-2,9.796528015E0,9.797032087E0
1.910543083E0,5.328918457E-2,-7.349716187E-2,9.783654785E0,9.784075967E0
1.920606375E0,5.029541016E-2,-7.214996338E-2,9.760303345E0,9.760699597E0
1.930670375E0,7.050338745E-2,-8.472381592E-2,9.773475952E0,9.774097454E0
1.940734375E0,9.310638428E-2,-8.337661743E-2,9.777966614E0,9.778765339E0
1.950799375E0,8.008346558E-2,-9.385482788E-2,9.783804474E0,9.784582366E0
1.960863375E0,6.122268677E-2,-6.706054688E-2,9.780810699E0,9.781232196E0
1.970927375E0,5.643264771E-2,-8.038284302E-2,9.782756653E0,9.783249653E0
1.980992375E0,5.688171387E-2,-9.101074219E-2,9.806706848E0,9.807294106E0
1.993554375E0,6.750961304E-2,-7.918533325E-2,9.778116302E0,9.778669965E0
2.003586375E0,6.406677246E-2,-7.664062500E-2,9.778715057E0,9.779225251E0
2.013617375E0,5.867797852E-2,-8.113128662E-2,9.811197510E0,9.811708412E0
2.023649375E0,6.197113037E-2,-8.996292114E-2,9.771979065E0,9.772589656E0
2.033681375E0,6.735992432E-2,-8.083190918E-2,9.765841827E0,9.766408642E0
2.043714375E0,6.212081909E-2,-8.786727905E-2,9.803413696E0,9.804004271E0
2.053746375E0,6.930587769E-2,-9.145980835E-2,9.790839844E0,9.791512296E0
